date,city,captured_utc,n_buckets,book_sum,mode,mode_title,mode_p,top_open,bot_open,p_up2,p_dn2,cum_up2,cum_dn2,bid_up2,ask_up2,depth_up2,bid_dn2,ask_dn2,depth_dn2
2026-09-22,manila,2026-09-21T10:12:58+00:00,11,1.065,33,33°C,0.4319,1,1,0.0052,0.1127,0.0066,0.1484,0.004,0.007,4343,0.11,0.13,6243
2026-09-22,mexico-city,2026-09-21T10:12:58+00:00,11,1.0175,26,26°C,0.5356,1,1,,0.0393,0,0.0713,,,,0.03,0.05,3413
2026-09-22,milan,2026-09-21T10:12:58+00:00,11,1.04,26,26°C,0.4567,1,1,0.0048,0.0817,0.0067,0.0942,0.001,0.009,3152,0.08,0.09,4748
2026-09-22,moscow,2026-09-21T10:12:58+00:00,11,1.0335,18,18°C,0.3822,1,1,0.0581,0.0677,0.0871,0.0856,0.05,0.07,2259,0.05,0.09,2813
2026-09-22,munich,2026-09-21T10:12:58+00:00,11,1.053,17,17°C,0.584,1,1,0.0237,0.0237,0.0309,0.0337,0.02,0.03,4936,0.01,0.04,5017
2026-09-22,panama-city,2026-09-21T10:12:58+00:00,11,1.062,32,32°C,0.4661,1,1,0.0085,0.0565,0.0085,0.1205,0.0,0.018,1367,0.04,0.08,3412
2026-09-22,paris,2026-09-21T10:12:58+00:00,11,1.027,24,24°C,0.5307,1,1,0.0438,0.0058,0.0463,0.0093,0.04,0.05,6697,0.004,0.008,6241
2026-09-22,qingdao,2026-09-21T10:12:58+00:00,11,1.031,30,30°C,0.5189,1,1,0.0679,0.0194,0.0757,0.0272,0.06,0.08,4407,0.01,0.03,2799
2026-09-22,sao-paulo,2026-09-21T10:12:58+00:00,11,1.0135,24,24°C or below,0.8535,1,1,0.0493,,0.0873,0,0.04,0.06,4113,,,
2026-09-22,seoul,2026-09-21T10:12:58+00:00,11,1.005,28,28°C,0.4726,1,1,0.0035,0.1095,0.0045,0.1149,0.002,0.005,4436,0.1,0.12,5777
2026-09-22,shanghai,2026-09-21T10:12:58+00:00,11,1.023,28,28°C,0.65,1,1,0.0196,0.002,0.0244,0.0029,0.01,0.03,4841,0.001,0.003,6053
2026-09-22,shenzhen,2026-09-21T10:12:58+00:00,11,1.0525,31,31°C,0.2708,1,1,0.1568,0.0808,0.1667,0.0922,0.15,0.18,4216,0.08,0.09,4616
2026-09-22,singapore,2026-09-21T10:12:58+00:00,11,1.0155,32,32°C,0.4087,1,1,0.0345,0.0542,0.0389,0.065,0.03,0.04,7441,0.04,0.07,4600
2026-09-22,taipei,2026-09-21T10:12:58+00:00,11,1.0285,32,32°C,0.4521,1,1,0.0146,0.034,0.0204,0.0559,0.01,0.02,5481,0.03,0.04,4814
2026-09-22,tel-aviv,2026-09-21T10:12:58+00:00,11,1.0365,30,30°C,0.6416,1,1,0.0241,0.0024,0.0265,0.027,0.02,0.03,3894,0.002,0.003,6502
2026-09-22,tokyo,2026-09-21T10:12:58+00:00,11,1.0305,30,30°C,0.2863,1,1,0.0679,0.1407,0.0752,0.2115,0.06,0.08,5174,0.13,0.16,4763
2026-09-22,toronto,2026-09-21T10:12:58+00:00,11,1.042,17,17°C,0.6094,1,1,0.024,0.0115,0.0307,0.0144,0.02,0.03,3776,0.002,0.022,3887
2026-09-22,warsaw,2026-09-21T10:12:58+00:00,11,1.058,16,16°C,0.4017,1,1,0.0614,0.0189,0.0676,0.0298,0.05,0.08,3363,0.01,0.03,2791
2026-09-22,wellington,2026-09-21T10:12:58+00:00,11,1.0325,14,14°C,0.5666,1,1,0.0005,0.0063,0.0019,0.0102,0.0,0.001,4206,0.004,0.009,2782
2026-09-22,wuhan,2026-09-21T10:12:58+00:00,11,1.028,24,24°C,0.2967,1,1,0.1556,0.0486,0.1683,0.0632,0.14,0.18,5330,0.04,0.06,3114
2026-09-22,zhengzhou,2026-09-21T10:12:58+00:00,11,1.331,30,30°C,0.263,1,1,0.1878,0.2179,0.1878,0.3614,0.0,0.5,41,0.18,0.4,139
2026-09-23,amsterdam,2026-09-22T09:30:12+00:00,11,1.0425,21,21°C,0.4988,1,1,0.0043,0.0288,0.0053,0.0403,0.0,0.009,2789,0.02,0.04,5696
2026-09-23,ankara,2026-09-22T09:30:12+00:00,11,1.0535,20,20°C,0.3987,1,1,0.0617,0.0332,0.0645,0.0622,0.05,0.08,3411,0.03,0.04,2416
2026-09-23,beijing,2026-09-22T09:30:12+00:00,11,1.052,32,32°C,0.4563,1,1,0.0095,0.0618,0.0152,0.096,0.0,0.02,2476,0.05,0.08,5187
2026-09-23,buenos-aires,2026-09-22T09:30:12+00:00,11,1.0715,19,19°C,0.4153,1,1,0.042,0.0653,0.0653,0.1134,0.03,0.06,2470,0.04,0.1,1699
2026-09-23,busan,2026-09-22T09:30:12+00:00,11,1.0465,28,28°C,0.4204,1,1,0.0239,0.0621,0.0287,0.0779,0.02,0.03,4006,0.06,0.07,5276
2026-09-23,cape-town,2026-09-22T09:30:12+00:00,11,1.0,22,22°C,0.305,1,1,0.05,0.16,0.085,0.215,0.04,0.06,2269,0.15,0.17,2394
2026-09-23,chengdu,2026-09-22T09:30:12+00:00,11,1.085,26,26°C,0.2719,1,1,0.1567,0.0461,0.1926,0.1023,0.16,0.18,3563,0.03,0.07,2840
2026-09-23,chongqing,2026-09-22T09:30:12+00:00,11,1.047,25,25°C,0.2388,1,1,0.1051,0.1624,0.1079,0.2378,0.09,0.13,2510,0.16,0.18,5184
2026-09-23,guangzhou,2026-09-22T09:30:12+00:00,11,1.039,34,34°C,0.409,1,1,0.0144,0.1155,0.0284,0.1535,0.01,0.02,4172,0.11,0.13,4373
2026-09-23,helsinki,2026-09-22T09:30:12+00:00,11,1.037,12,12°C,0.4532,1,1,0.053,0.0058,0.0593,0.0101,0.05,0.06,4734,0.002,0.01,2813
2026-09-23,istanbul,2026-09-22T09:30:12+00:00,11,1.068,17,17°C,0.4635,1,1,0.0468,0.037,0.0772,0.0473,0.04,0.06,2107,0.021,0.058,2357
2026-09-23,jeddah,2026-09-22T09:30:12+00:00,11,1.034,36,36°C,0.4884,1,1,0.0532,0.0193,0.0783,0.0319,0.05,0.06,2935,0.01,0.03,2422
2026-09-23,karachi,2026-09-22T09:30:12+00:00,11,1.071,37,37°C,0.3455,1,1,0.0042,0.1261,0.0075,0.1802,0.0,0.009,1590,0.12,0.15,2649
2026-09-23,kuala-lumpur,2026-09-22T09:30:12+00:00,11,1.0045,32,32°C,0.3086,1,1,0.0448,0.0796,0.0647,0.114,0.03,0.06,2121,0.06,0.1,2856
2026-09-23,london,2026-09-22T09:30:12+00:00,11,0.998,24,24°C,0.6864,1,1,0.005,0.0351,0.006,0.0471,0.003,0.007,6682,0.03,0.04,5224
2026-09-23,lucknow,2026-09-22T09:30:12+00:00,11,1.0285,33,33°C,0.4181,1,1,0.0729,0.001,0.0885,0.0122,0.07,0.08,3776,0.0,0.002,1806
2026-09-23,madrid,2026-09-22T09:30:12+00:00,11,1.0285,34,34°C,0.5882,1,1,0.0024,0.0194,0.0034,0.0292,0.002,0.003,8958,0.015,0.025,6968
2026-09-23,manila,2026-09-22T09:30:12+00:00,11,1.0455,33,33°C,0.4161,1,1,0.0014,0.11,0.0043,0.1492,0.001,0.002,2746,0.1,0.13,6175
2026-09-23,mexico-city,2026-09-22T09:30:12+00:00,11,1.0325,25,25°C,0.4213,1,1,,0.0145,0,0.0266,,,,0.0,0.03,3341
2026-09-23,milan,2026-09-22T09:30:12+00:00,11,1.041,23,23°C,0.61,1,1,0.0384,0.024,0.0644,0.0375,0.03,0.05,3058,0.02,0.03,2857
2026-09-23,moscow,2026-09-22T09:30:12+00:00,11,1.0775,18,18°C,0.4084,1,1,0.0603,0.0371,0.0937,0.0664,0.05,0.08,2676,0.03,0.05,1892
2026-09-23,munich,2026-09-22T09:30:12+00:00,11,1.049,18,18°C,0.5291,1,1,0.0334,0.0014,0.0381,0.0133,0.02,0.05,5934,0.001,0.002,6988
2026-09-23,panama-city,2026-09-22T09:30:12+00:00,11,1.023,32,32°C,0.5181,1,1,0.0342,0.0489,0.0342,0.0762,0.03,0.04,1487,0.03,0.07,2138
2026-09-23,paris,2026-09-22T09:30:12+00:00,11,1.049,26,26°C,0.4623,1,1,0.0238,0.0715,0.0305,0.0925,0.01,0.04,5798,0.07,0.08,4613
2026-09-23,qingdao,2026-09-22T09:30:12+00:00,11,1.043,30,30°C,0.4986,1,1,,0.0288,0,0.046,,,,0.02,0.04,2320
2026-09-23,sao-paulo,2026-09-22T09:30:12+00:00,11,1.041,17,17°C,0.3122,1,1,0.048,0.1201,0.073,0.1825,0.03,0.07,2105,0.12,0.13,2496
2026-09-23,seoul,2026-09-22T09:30:12+00:00,11,1.037,26,26°C,0.487,1,1,0.0289,0.0145,0.0424,0.0174,0.02,0.04,7742,0.01,0.02,4947
2026-09-23,shanghai,2026-09-22T09:30:12+00:00,11,1.0245,29,29°C,0.449,1,1,0.0005,0.0781,0.0015,0.0859,0.0,0.001,5330,0.07,0.09,4782
2026-09-23,shenzhen,2026-09-22T09:30:12+00:00,11,1.043,31,31°C,0.35,1,1,0.0911,0.0527,0.1069,0.059,0.09,0.1,4969,0.05,0.06,6354
2026-09-23,singapore,2026-09-22T09:30:12+00:00,11,1.0285,32,32°C,0.4473,1,1,0.0292,0.0194,0.036,0.0306,0.02,0.04,4375,0.01,0.03,2021
2026-09-23,taipei,2026-09-22T09:30:12+00:00,11,1.0595,32,32°C,0.4861,1,1,0.0378,0.033,0.0519,0.0514,0.03,0.05,4659,0.03,0.04,2468
2026-09-23,tel-aviv,2026-09-22T09:30:12+00:00,11,1.0545,30,30°C,0.569,1,1,0.0284,0.0104,0.0346,0.0123,0.02,0.04,2070,0.002,0.02,2048
2026-09-23,tokyo,2026-09-22T09:30:12+00:00,11,1.0325,25,25°C,0.3777,1,1,0.0291,0.1501,0.0431,0.1724,0.02,0.04,3987,0.15,0.16,4870
2026-09-23,toronto,2026-09-22T09:30:12+00:00,11,1.068,19,19°C,0.5009,1,1,0.0094,0.0328,0.0187,0.0777,0.0,0.02,2505,0.02,0.05,3370
2026-09-23,warsaw,2026-09-22T09:30:12+00:00,11,1.0355,16,16°C,0.4973,1,1,0.0183,0.0053,0.0203,0.014,0.01,0.028,4956,0.002,0.009,5156
2026-09-23,wellington,2026-09-22T09:30:12+00:00,11,0.9915,11,11°C,0.6152,1,1,0.0066,0.0403,0.0101,0.0469,0.003,0.01,7709,0.03,0.05,6719
2026-09-23,wuhan,2026-09-22T09:30:12+00:00,11,1.0245,26,26°C,0.3514,1,1,0.0732,0.0439,0.1118,0.0586,0.07,0.08,2003,0.03,0.06,2105
2026-09-23,zhengzhou,2026-09-22T09:30:12+00:00,11,1.2305,29,29°C,0.2397,1,1,0.1625,0.0569,0.3657,0.0857,0.0,0.4,148,0.0,0.14,156
